AssignmentId,WorkerId,HITId,AutoApprovalTime,AcceptTime,SubmitTime,Answer,ATime,STime,Sentiment,GroundTruth,MinDiff,SecDiff
3A1PQ49WVWC0UEG99PF8DNCFWWDH1S,AOSDB00WXVME4,3WKGUBL7TDGHMPYPXQ86ETHAYTTL4H,2023-02-28 14:30:24-05:00,2023-01-29 14:30:01-05:00,2023-01-29 14:30:24-05:00,Extremely Negative,2023-01-29 14:30:01-05:00,2023-01-29 14:30:24-05:00,1,1,0.38333333333333336,23.0
3S06PH7KS6ZJIYB7NTWIM2XH44B1DU,A1W3VZV2POI85H,3VQTAXTYOHF4QE6SLJAUDUJZLC3UBQ,2023-02-26 21:26:08-05:00,2023-01-27 21:26:04-05:00,2023-01-27 21:26:08-05:00,Negative,2023-01-27 21:26:04-05:00,2023-01-27 21:26:08-05:00,2,1,0.06666666666666667,4.0
3E7TUJ2EGRH173E2R6BB18F02G4D9K,A2JX2VIJWXHS4X,3VQTAXTYOHF4QE6SLJAUDUJZLC3UBQ,2023-02-27 21:10:01-05:00,2023-01-28 21:09:57-05:00,2023-01-28 21:10:01-05:00,Extremely Negative,2023-01-28 21:09:57-05:00,2023-01-28 21:10:01-05:00,1,1,0.06666666666666667,4.0
38JBBYETQ35523MQ66Q4QIM5G0VE4M,AOSDB00WXVME4,3VQTAXTYOHF4QE6SLJAUDUJZLC3UBQ,2023-02-28 14:27:17-05:00,2023-01-29 14:27:08-05:00,2023-01-29 14:27:17-05:00,Negative,2023-01-29 14:27:08-05:00,2023-01-29 14:27:17-05:00,2,1,0.15,9.0
3A9AA95ATBHRVDFGTPPPPMRNU3J5PU,A1W3VZV2POI85H,38RHULDVAC9R5Q93MTHCH5891IYIWM,2023-02-26 21:25:27-05:00,2023-01-27 21:24:54-05:00,2023-01-27 21:25:27-05:00,Neutral,2023-01-27 21:24:54-05:00,2023-01-27 21:25:27-05:00,3,4,0.55,33.0
37M28K1J058SF8OZT8BM01LXDIJAJA,A2JX2VIJWXHS4X,38RHULDVAC9R5Q93MTHCH5891IYIWM,2023-02-27 21:07:47-05:00,2023-01-28 21:07:25-05:00,2023-01-28 21:07:47-05:00,Negative,2023-01-28 21:07:25-05:00,2023-01-28 21:07:47-05:00,2,4,0.36666666666666664,22.0
33L7PJKHCVT8ANRP845C6G2BLWE8TD,AOSDB00WXVME4,38RHULDVAC9R5Q93MTHCH5891IYIWM,2023-02-28 14:29:13-05:00,2023-01-29 14:28:49-05:00,2023-01-29 14:29:13-05:00,Extremely Negative,2023-01-29 14:28:49-05:00,2023-01-29 14:29:13-05:00,1,4,0.4,24.0
3UN61F00HBKC7QVV6HTEUHR2VL75RM,A1W3VZV2POI85H,3IJ95K7NEB6NM5UU44QM0AI2TT2NG8,2023-02-26 21:26:03-05:00,2023-01-27 21:25:53-05:00,2023-01-27 21:26:03-05:00,Positive,2023-01-27 21:25:53-05:00,2023-01-27 21:26:03-05:00,4,5,0.16666666666666666,10.0
3H0W84IWBZXC39OOHIMHYBXF8EBER1,A2JX2VIJWXHS4X,3IJ95K7NEB6NM5UU44QM0AI2TT2NG8,2023-02-27 21:10:18-05:00,2023-01-28 21:10:01-05:00,2023-01-28 21:10:18-05:00,Negative,2023-01-28 21:10:01-05:00,2023-01-28 21:10:18-05:00,2,5,0.2833333333333333,17.0
37QW5D2ZRVH7VNEAJ40MWB6PJD08SO,AOSDB00WXVME4,3IJ95K7NEB6NM5UU44QM0AI2TT2NG8,2023-02-28 14:27:52-05:00,2023-01-29 14:27:18-05:00,2023-01-29 14:27:52-05:00,Neutral,2023-01-29 14:27:18-05:00,2023-01-29 14:27:52-05:00,3,5,0.5666666666666667,34.0
37W3JXSD6L3FHAM1GD8HSDXCI5PYWX,A1W3VZV2POI85H,3OCZWXS7021ZI82PBVRGJLNOYPOL5M,2023-02-26 21:25:52-05:00,2023-01-27 21:25:45-05:00,2023-01-27 21:25:52-05:00,Negative,2023-01-27 21:25:45-05:00,2023-01-27 21:25:52-05:00,2,3,0.11666666666666667,7.0
3WSELTNVRIXMTBK452PQ2786BK9ATE,AOUQO4R0XPPYF,3OCZWXS7021ZI82PBVRGJLNOYPOL5M,2023-02-27 14:34:40-05:00,2023-01-28 14:33:50-05:00,2023-01-28 14:34:40-05:00,Neutral,2023-01-28 14:33:50-05:00,2023-01-28 14:34:40-05:00,3,3,0.8333333333333334,50.0
3FK0YFF9PEBLYRRRLSG1ZCA4TFQVVG,A3F5D6DN4AMTGZ,3OCZWXS7021ZI82PBVRGJLNOYPOL5M,2023-02-27 16:01:20-05:00,2023-01-28 15:59:58-05:00,2023-01-28 16:01:20-05:00,Negative,2023-01-28 15:59:58-05:00,2023-01-28 16:01:20-05:00,2,3,1.3666666666666667,82.0
3M0NZ3JDPGTL9HHMGYNRGKT142V5ZK,A2JX2VIJWXHS4X,3OCZWXS7021ZI82PBVRGJLNOYPOL5M,2023-02-27 21:09:26-05:00,2023-01-28 21:09:16-05:00,2023-01-28 21:09:26-05:00,Positive,2023-01-28 21:09:16-05:00,2023-01-28 21:09:26-05:00,4,3,0.16666666666666666,10.0
3YWRV122C7UNA06E89VMBCOD4AL8U4,AOSDB00WXVME4,3OCZWXS7021ZI82PBVRGJLNOYPOL5M,2023-02-28 14:30:56-05:00,2023-01-29 14:30:40-05:00,2023-01-29 14:30:56-05:00,Neutral,2023-01-29 14:30:40-05:00,2023-01-29 14:30:56-05:00,3,3,0.26666666666666666,16.0
33SA9F9TRCPHB55AGCWNLA5W0TKWEG,A1W3VZV2POI85H,3JYPJ2TAZW2HBQAC9ZXWMENLST3PF7,2023-02-26 21:26:43-05:00,2023-01-27 21:26:32-05:00,2023-01-27 21:26:43-05:00,Neutral,2023-01-27 21:26:32-05:00,2023-01-27 21:26:43-05:00,3,4,0.18333333333333332,11.0
3300DTYQTHCCR89O43XHTLNACS9EQ0,A2JX2VIJWXHS4X,3JYPJ2TAZW2HBQAC9ZXWMENLST3PF7,2023-02-27 21:09:15-05:00,2023-01-28 21:08:16-05:00,2023-01-28 21:09:15-05:00,Positive,2023-01-28 21:08:16-05:00,2023-01-28 21:09:15-05:00,4,4,0.9833333333333333,59.0
3RANCT1ZVUC6CY4LBLFW2EEECG6BU6,AOSDB00WXVME4,3JYPJ2TAZW2HBQAC9ZXWMENLST3PF7,2023-02-28 14:30:00-05:00,2023-01-29 14:29:40-05:00,2023-01-29 14:30:00-05:00,Positive,2023-01-29 14:29:40-05:00,2023-01-29 14:30:00-05:00,4,4,0.3333333333333333,20.0
